nome,sobrenome,disciplina,professor,nota
Owen,Mackenzie,ingles,Susan,B
Lisa,Manning,geografia,Ruth,A
Lisa,Manning,ciencias,Donna,A
Lisa,Manning,historia,Carol,A
Irene,Campbell,historia,Carol,A
Irene,Campbell,biologia,Sarah,D
Irene,Campbell,sociologia,Bertie,B
Elizabeth,Henderson,biologia,William,A
Elizabeth,Henderson,matematica,John,C
Elizabeth,Henderson,ingles,Susan,A
Joanne,Allan,biologia,William,A
Joanne,Allan,matematica,John,C
Harry,Bower,matematica,John,B
Harry,Bower,espanhol,Robert,B
Harry,Bower,sociologia,Bertie,B
Dorothy,Wallace,ciencias,Donna,A
Dorothy,Wallace,sociologia,Bertie,C
Dorothy,Wallace,geografia,Dorothy,B
Thomas,Churchill,sociologia,Bertie,A
Thomas,Churchill,portugues,Margaret,A
Thomas,Churchill,artes,Kenneth,B
Piers,James,geografia,Ruth,D
Piers,James,sociologia,Bertie,A
Piers,James,ciencias,Donna,C
Sebastian,Dowd,espanhol,Robert,D
Sebastian,Dowd,matematica,Donald,D
Sebastian,Dowd,geografia,Dorothy,A
Jake,Hardacre,filosofia,George,C
Jake,Hardacre,portugues,James,B
Jake,Hardacre,geografia,Dorothy,D
Austin,Johnston,filosofia,George,A
Austin,Johnston,artes,Brian,C
Austin,Johnston,matematica,Donald,C
Joan,Bower,ciencias,Donna,B
Joan,Bower,matematica,Paul,A
Heather,Smith,sociologia,Bertie,C
Heather,Smith,matematica,Paul,B
Heather,Smith,portugues,Patricia,D
Ryan,Manning,espanhol,Robert,B
Ryan,Manning,ingles,Susan,D
Ryan,Manning,ciencias,Donna,D
Olivia,McLean,sociologia,Bertie,C
Olivia,McLean,matematica,Donald,C
Owen,Jones,espanhol,Robert,C
Owen,Jones,artes,Kenneth,B
Jack,Wright,espanhol,Robert,D
Jack,Wright,historia,Carol,D
Jack,Wright,artes,Brian,B
Chloe,Newman,ingles,Michael,C
Chloe,Newman,geografia,Dorothy,A
Chloe,Newman,sociologia,Bertie,D
Richard,Vance,ciencias,Donna,A
Richard,Vance,artes,Kenneth,B
Richard,Vance,sociologia,Bertie,C
Robert,Terry,historia,Carol,D
Robert,Terry,ingles,Karen,B
Matt,Davidson,artes,Brian,D
Matt,Davidson,sociologia,Bertie,A
Matt,Davidson,matematica,Paul,A
Lucas,Avery,geografia,Dorothy,C
Lucas,Avery,portugues,James,A
Kimberly,Hunter,matematica,Charles,B
Kimberly,Hunter,sociologia,Bertie,B
Kimberly,Hunter,portugues,Elizabeth,B
Sophie,Hardacre,biologia,William,A
Sophie,Hardacre,portugues,Patricia,C
Emma,Davies,ciencias,Donna,A
Emma,Davies,ingles,Susan,B
Emma,Davies,portugues,James,B
Katherine,Ogden,portugues,Patricia,C
Katherine,Ogden,ingles,Karen,C
Katherine,Ogden,historia,Carol,B
Chloe,Davies,artes,Brian,D
Chloe,Davies,geografia,Ruth,A
Chloe,Davies,espanhol,Robert,B
Isaac,Burgess,biologia,William,B
Isaac,Burgess,ingles,Michael,A
Isaac,Burgess,geografia,Dorothy,D
Austin,Fraser,espanhol,Robert,B
Austin,Fraser,matematica,Paul,A
Austin,Fraser,biologia,Sarah,A
Robert,Ellison,portugues,Elizabeth,D
Robert,Ellison,filosofia,George,A
Robert,Ellison,historia,Carol,B
Charles,Smith,ingles,Michael,A
Charles,Smith,portugues,Margaret,D
Charles,Smith,filosofia,George,C
Ava,Morrison,espanhol,Robert,C
Ava,Morrison,biologia,William,D
Ava,Morrison,filosofia,George,B
Carolyn,Russell,artes,Brian,B
Carolyn,Russell,ciencias,Donna,D
Carolyn,Russell,ingles,Karen,D
Claire,Walsh,portugues,Elizabeth,A
Claire,Walsh,geografia,Ruth,A
Claire,Walsh,artes,Kenneth,C
Dylan,Johnston,artes,Brian,B
Dylan,Johnston,portugues,Elizabeth,C
Dylan,Johnston,biologia,William,C
Ryan,Reid,portugues,James,C
Ryan,Reid,geografia,Ruth,B
Ryan,Reid,ciencias,Donna,B
Stewart,Clarkson,historia,Carol,A
Stewart,Clarkson,ingles,Karen,D
Stewart,Clarkson,espanhol,Robert,A
Victoria,Burgess,portugues,Elizabeth,C
Victoria,Burgess,filosofia,George,B
Victoria,Burgess,ciencias,Donna,A
Colin,Walsh,portugues,James,A
Colin,Walsh,historia,Carol,B
Leonard,Burgess,geografia,Dorothy,A
Leonard,Burgess,ingles,Michael,A
Leonard,Burgess,ciencias,Donna,B
Connor,Taylor,geografia,Dorothy,D
Connor,Taylor,artes,Kenneth,D
Connor,Taylor,biologia,Sarah,B
James,Grant,filosofia,George,A
James,Grant,historia,Carol,A
James,Grant,ciencias,Donna,B
John,Gibson,matematica,John,D
John,Gibson,espanhol,Robert,B
John,Gibson,sociologia,Bertie,B
Heather,Thomson,matematica,Charles,D
Heather,Thomson,historia,Carol,A
Heather,Thomson,portugues,James,D
Nicholas,Terry,espanhol,Robert,A
Nicholas,Terry,portugues,Patricia,C
Neil,Mills,filosofia,George,C
Neil,Mills,historia,Carol,D
Neil,Mills,biologia,Sarah,A
Grace,Vaughan,biologia,Sarah,D
Grace,Vaughan,ingles,Susan,B
Grace,Vaughan,historia,Carol,D
Paul,Lyman,espanhol,Robert,B
Paul,Lyman,matematica,John,A
Paul,Lyman,filosofia,George,C
Oliver,Dickens,espanhol,Robert,D
Oliver,Dickens,sociologia,Bertie,A
Faith,Clarkson,historia,Carol,B
Faith,Clarkson,biologia,William,C
Diane,King,portugues,Elizabeth,C
Diane,King,sociologia,Bertie,C
Oliver,Butler,portugues,Patricia,D
Oliver,Butler,geografia,Dorothy,B
Sarah,Ross,matematica,Paul,B
Jane,Berry,espanhol,Robert,B
Jane,Berry,matematica,Paul,A
Anna,Rutherford,filosofia,George,B
Anna,Rutherford,ciencias,Donna,C
Anna,Rutherford,sociologia,Bertie,C
Cameron,Pullman,matematica,Paul,D
Cameron,Pullman,ingles,Karen,A
Cameron,Pullman,geografia,Dorothy,D
Jonathan,Nolan,ciencias,Donna,C
Jonathan,Nolan,geografia,Dorothy,A
Jonathan,Nolan,portugues,Patricia,A
Emily,Ferguson,ingles,Karen,B
Emily,Ferguson,biologia,William,B
Emily,Ferguson,geografia,Dorothy,B
Hannah,Clark,matematica,John,B
Hannah,Clark,sociologia,Bertie,C
Hannah,Clark,biologia,Sarah,B
Carl,Coleman,ciencias,Donna,D
Carl,Coleman,espanhol,Robert,A
Carl,Coleman,sociologia,Bertie,B
Yvonne,Carr,artes,Brian,C
Yvonne,Carr,portugues,Elizabeth,B
Yvonne,Carr,matematica,Paul,B
Liam,Sutherland,portugues,James,C
Liam,Sutherland,artes,Kenneth,A
Liam,Sutherland,espanhol,Robert,D
Alison,Springer,biologia,William,A
Alison,Springer,historia,Carol,B
Alison,Springer,matematica,Donald,B
Stephanie,North,artes,Brian,B
Stephanie,North,historia,Carol,B
Stephanie,North,espanhol,Robert,D
Jonathan,Peters,geografia,Dorothy,D
Jonathan,Peters,matematica,Paul,D
Jonathan,Peters,historia,Carol,A
Penelope,Tucker,sociologia,Bertie,D
Penelope,Tucker,matematica,Charles,A
Penelope,Tucker,portugues,James,B
Penelope,North,ingles,Susan,C
Penelope,North,matematica,Paul,A
Penelope,North,sociologia,Bertie,C
Gordon,Hemmings,historia,Carol,A
Gordon,Hemmings,portugues,Margaret,B
Gordon,Hemmings,biologia,William,B
Natalie,Morgan,biologia,Sarah,D
Natalie,Morgan,sociologia,Bertie,B
Natalie,Morgan,matematica,Charles,B
Gordon,Scott,ingles,Karen,D
Gordon,Scott,artes,Brian,D
Gordon,Scott,ciencias,Donna,C
Joseph,Churchill,artes,Kenneth,B
Joseph,Churchill,espanhol,Robert,C
Joseph,Churchill,biologia,Sarah,D
Wanda,Hudson,portugues,Patricia,C
Wanda,Hudson,ingles,Michael,C
Wanda,Hudson,artes,Brian,D
Donna,Blake,sociologia,Bertie,C
Donna,Blake,biologia,Sarah,B
Donna,Blake,matematica,Paul,A
Gordon,Poole,filosofia,George,B
Gordon,Poole,geografia,Dorothy,A
Gordon,Poole,biologia,William,B
Kylie,Ogden,ingles,Michael,D
Kylie,Ogden,filosofia,George,C
Molly,Wilson,matematica,Paul,C
Molly,Wilson,artes,Kenneth,C
Sophie,Poole,biologia,William,A
Sophie,Poole,filosofia,George,A
Vanessa,Nash,biologia,Sarah,B
Vanessa,Nash,espanhol,Robert,A
Vanessa,Nash,filosofia,George,A
Boris,Abraham,historia,Carol,D
Boris,Abraham,geografia,Dorothy,D
Amy,Campbell,filosofia,George,A
Amy,Campbell,ingles,Michael,D
Amy,Campbell,matematica,Donald,D
William,Mitchell,ciencias,Donna,B
William,Mitchell,geografia,Dorothy,C
William,Mitchell,espanhol,Robert,D
Victoria,Cameron,artes,Kenneth,A
Victoria,Cameron,biologia,Sarah,C
Victoria,Cameron,portugues,James,B
Andrew,Short,matematica,Paul,A
Andrew,Short,ingles,Michael,C
Andrew,Short,espanhol,Robert,C
Jane,Oliver,portugues,Margaret,B
Jane,Oliver,espanhol,Robert,A
Joseph,Graham,ingles,Susan,A
Joseph,Graham,sociologia,Bertie,D
Joseph,Graham,historia,Carol,C
Joe,Walsh,geografia,Ruth,A
Joe,Walsh,sociologia,Bertie,C
Joe,Walsh,matematica,Charles,B
Jonathan,Grant,espanhol,Robert,A
Jonathan,Grant,filosofia,George,D
Jonathan,Grant,portugues,James,D
Angela,King,geografia,Ruth,C
Angela,King,historia,Carol,A
Angela,King,artes,Brian,A
Claire,Lawrence,espanhol,Robert,C
Claire,Lawrence,artes,Brian,D
Phil,Marshall,matematica,Charles,B
Phil,Marshall,geografia,Ruth,A
Leah,Poole,matematica,Donald,D
Leah,Poole,artes,Brian,A
Leah,Poole,portugues,Elizabeth,C
Justin,Hodges,espanhol,Robert,A
Justin,Hodges,ciencias,Donna,C
Justin,Hodges,artes,Brian,D
Mary,Fraser,espanhol,Robert,D
Mary,Fraser,ciencias,Donna,B
Tim,Ball,ingles,Michael,C
Tim,Ball,matematica,John,C
Tim,Ball,biologia,William,D
Emma,Terry,matematica,Charles,B
Emma,Terry,filosofia,George,A
Emma,Terry,historia,Carol,C
Diane,Payne,historia,Carol,C
Diane,Payne,ciencias,Donna,C
Diane,Payne,matematica,Charles,C
Justin,Powell,artes,Kenneth,C
Justin,Powell,geografia,Dorothy,B
James,Vaughan,geografia,Dorothy,B
James,Vaughan,portugues,Margaret,D
James,Vaughan,ingles,Karen,D
Bernadette,Carr,geografia,Dorothy,C
Bernadette,Carr,historia,Carol,D
Bernadette,Carr,portugues,James,B
Evan,Bond,ciencias,Donna,A
Evan,Bond,biologia,William,C
Evan,Bond,sociologia,Bertie,B
Lisa,Murray,filosofia,George,C
Lisa,Murray,portugues,Margaret,B
Lisa,Murray,matematica,Paul,D
Joanne,Wright,historia,Carol,B
Joanne,Wright,artes,Brian,C
Sally,Piper,sociologia,Bertie,A
Sally,Piper,portugues,Elizabeth,D
Sally,Piper,biologia,Sarah,B
Phil,White,matematica,Paul,A
Phil,White,biologia,Sarah,C
Jake,Hughes,ingles,Susan,C
Jake,Hughes,matematica,Paul,C
Rose,Terry,artes,Kenneth,A
Rose,Terry,ingles,Susan,C
Jessica,Hill,matematica,John,D
Jessica,Hill,espanhol,Robert,A
Jessica,Hill,sociologia,Bertie,A
Sam,White,portugues,Elizabeth,B
Sam,White,ingles,Michael,D
Sam,White,filosofia,George,C
Victor,Henderson,sociologia,Bertie,C
Victor,Henderson,historia,Carol,C
Victor,Henderson,ciencias,Donna,B
Joseph,Ross,biologia,William,B
Joseph,Ross,ciencias,Donna,B
Joseph,Ross,ingles,Michael,D
Diana,Davidson,biologia,William,C
Diana,Davidson,filosofia,George,B
Diana,Davidson,geografia,Ruth,A
Kimberly,Sharp,geografia,Dorothy,C
Kimberly,Sharp,espanhol,Robert,B
Trevor,Forsyth,biologia,Sarah,C
Trevor,Forsyth,ciencias,Donna,B
Trevor,Forsyth,espanhol,Robert,A
Liam,Graham,portugues,James,B
Liam,Graham,ingles,Susan,B
Liam,Graham,historia,Carol,D
Rebecca,Rutherford,geografia,Dorothy,B
Rebecca,Rutherford,sociologia,Bertie,C
Lily,Hart,ciencias,Donna,D
Lily,Hart,filosofia,George,A
Paul,Watson,portugues,James,B
Paul,Watson,historia,Carol,C
Bernadette,Metcalfe,ciencias,Donna,D
Bernadette,Metcalfe,portugues,Margaret,C
Colin,Morrison,ingles,Susan,A
Colin,Morrison,matematica,Donald,C
Colin,Morrison,ciencias,Donna,C
Katherine,Quinn,historia,Carol,A
Katherine,Quinn,biologia,Sarah,A
Katherine,Quinn,espanhol,Robert,D
Hannah,Jackson,portugues,Margaret,C
Hannah,Jackson,artes,Kenneth,D
Hannah,Jackson,espanhol,Robert,B
Diana,Stewart,filosofia,George,C
Diana,Stewart,sociologia,Bertie,B
Diana,Stewart,biologia,Sarah,B
Jack,Mackay,espanhol,Robert,C
Jack,Mackay,artes,Kenneth,A
Jack,Mackay,matematica,John,C
William,Dyer,ingles,Susan,D
William,Dyer,portugues,Elizabeth,C
William,Dyer,matematica,John,A
Stephen,Walker,portugues,James,A
Stephen,Walker,sociologia,Bertie,C
Samantha,Ball,historia,Carol,C
Samantha,Ball,portugues,Patricia,C
Deirdre,Oliver,ingles,Michael,A
Deirdre,Oliver,geografia,Ruth,D
Deirdre,Oliver,historia,Carol,A
Heather,Payne,filosofia,George,A
Heather,Payne,espanhol,Robert,A
Heather,Payne,artes,Brian,C
Phil,Paige,ingles,Susan,B
Phil,Paige,filosofia,George,D
Phil,Paige,espanhol,Robert,A
Amelia,Oliver,matematica,John,C
Amelia,Oliver,ciencias,Donna,D
Amelia,Oliver,sociologia,Bertie,C
Ella,Parr,ingles,Susan,A
Ella,Parr,matematica,Paul,B
Ruth,Stewart,ingles,Michael,C
Ruth,Stewart,ciencias,Donna,A
Sean,Hamilton,espanhol,Robert,B
Sean,Hamilton,ciencias,Donna,C
Nathan,Wright,ciencias,Donna,B
Nathan,Wright,espanhol,Robert,B
Nathan,Wright,filosofia,George,C
Yvonne,Underwood,ciencias,Donna,B
Yvonne,Underwood,geografia,Ruth,B
Yvonne,Underwood,historia,Carol,B
Tim,McLean,artes,Brian,C
Tim,McLean,geografia,Ruth,A
Tim,McLean,sociologia,Bertie,B
Ella,Campbell,artes,Brian,A
Ella,Campbell,matematica,Charles,C
Ella,Campbell,filosofia,George,C
Tracey,May,ingles,Karen,B
Tracey,May,biologia,Sarah,D
Jan,Carr,artes,Kenneth,A
Jan,Carr,ingles,Karen,C
Jan,Carr,espanhol,Robert,B
Neil,Dyer,espanhol,Robert,C
Neil,Dyer,geografia,Ruth,C
Neil,Dyer,matematica,Donald,B
Wendy,Chapman,artes,Brian,C
Wendy,Chapman,portugues,Margaret,A
Wendy,Chapman,geografia,Dorothy,A
Christian,Pullman,sociologia,Bertie,B
Christian,Pullman,filosofia,George,C
Christian,Pullman,portugues,Elizabeth,A
Benjamin,Henderson,matematica,Paul,B
Benjamin,Henderson,portugues,James,D
Benjamin,Henderson,historia,Carol,A
Leonard,Poole,sociologia,Bertie,B
Leonard,Poole,portugues,James,D
Leonard,Poole,ciencias,Donna,A
Sue,Parr,ciencias,Donna,D
Sue,Parr,sociologia,Bertie,B
Sue,Parr,matematica,Charles,A
Michelle,Quinn,espanhol,Robert,A
Michelle,Quinn,artes,Kenneth,B
Michelle,Quinn,biologia,Sarah,A
Harry,Terry,artes,Brian,D
Harry,Terry,historia,Carol,A
Paul,Jones,artes,Brian,D
Paul,Jones,portugues,James,A
Paul,Jones,ciencias,Donna,D
Austin,Wright,artes,Brian,B
Austin,Wright,historia,Carol,C
Austin,Wright,filosofia,George,B
Kylie,Powell,sociologia,Bertie,A
Kylie,Powell,filosofia,George,C
Kylie,Powell,portugues,Patricia,B
Julia,Sharp,biologia,William,A
Julia,Sharp,portugues,Patricia,C
Julia,Sharp,geografia,Ruth,C
Una,Lee,matematica,Donald,B
Una,Lee,artes,Kenneth,D
Maria,Jackson,geografia,Dorothy,B
Maria,Jackson,filosofia,George,C
Maria,Jackson,portugues,Patricia,A
Piers,Forsyth,filosofia,George,D
Piers,Forsyth,artes,Kenneth,D
Piers,Forsyth,espanhol,Robert,B
Phil,Manning,espanhol,Robert,A
Phil,Manning,biologia,William,D
Theresa,Harris,biologia,Sarah,B
Theresa,Harris,espanhol,Robert,A
Theresa,Harris,matematica,Donald,D
Wendy,James,filosofia,George,B
Wendy,James,ingles,Michael,C
Claire,White,portugues,Patricia,C
Claire,White,sociologia,Bertie,A
Claire,White,filosofia,George,C
Tim,McGrath,portugues,Elizabeth,D
Tim,McGrath,ingles,Michael,D
Tim,McGrath,sociologia,Bertie,D
Blake,Miller,historia,Carol,D
Blake,Miller,matematica,Paul,B
Blake,Miller,portugues,Patricia,D
Hannah,Edmunds,ingles,Susan,B
Hannah,Edmunds,historia,Carol,B
Megan,Lawrence,espanhol,Robert,B
Megan,Lawrence,ciencias,Donna,C
Megan,Lawrence,matematica,Charles,D
Sue,Scott,historia,Carol,D
Sue,Scott,espanhol,Robert,B
Sue,Scott,matematica,Donald,A
John,Wright,ciencias,Donna,A
John,Wright,artes,Brian,D
Stephanie,Mackay,matematica,Charles,A
Stephanie,Mackay,artes,Brian,D
Stephanie,Mackay,historia,Carol,C
James,May,historia,Carol,D
James,May,matematica,Donald,C
Joanne,Randall,filosofia,George,C
Joanne,Randall,historia,Carol,D
Joanne,Randall,ciencias,Donna,B
Kylie,Reid,biologia,William,C
Kylie,Reid,historia,Carol,A
Kylie,Reid,ingles,Susan,B
Brian,Gray,geografia,Ruth,B
Brian,Gray,matematica,John,A
Brian,Gray,historia,Carol,C
Christian,McLean,matematica,Charles,C
Christian,McLean,portugues,Patricia,B
Victor,Chapman,portugues,Elizabeth,A
Victor,Chapman,geografia,Dorothy,A
Victor,Chapman,matematica,John,C
Rebecca,Churchill,ingles,Michael,B
Rebecca,Churchill,geografia,Ruth,C
Rebecca,Churchill,portugues,Elizabeth,D
Trevor,Hodges,ciencias,Donna,A
Trevor,Hodges,portugues,James,A
Owen,Campbell,sociologia,Bertie,D
Owen,Campbell,espanhol,Robert,B
Owen,Campbell,biologia,William,D
Austin,Terry,ingles,Susan,C
Austin,Terry,sociologia,Bertie,C
Austin,Terry,filosofia,George,B
Christopher,Davies,artes,Kenneth,D
Christopher,Davies,historia,Carol,C
Maria,McDonald,espanhol,Robert,A
Maria,McDonald,geografia,Ruth,C
Harry,Bell,filosofia,George,C
Harry,Bell,ciencias,Donna,B
Harry,Bell,ingles,Susan,C
Tim,Black,portugues,Margaret,A
Tim,Black,filosofia,George,D
Tim,Black,biologia,Sarah,A
Gavin,Ross,espanhol,Robert,B
Gavin,Ross,ingles,Michael,B
Gavin,Ross,filosofia,George,B
Sue,Nash,portugues,Patricia,B
Sue,Nash,artes,Kenneth,B
Sue,Nash,espanhol,Robert,C
Gordon,Lawrence,matematica,Charles,A
Gordon,Lawrence,artes,Brian,C
Gordon,Lawrence,sociologia,Bertie,D
Stewart,Ince,ciencias,Donna,A
Stewart,Ince,matematica,Charles,D
Stewart,Ince,espanhol,Robert,B
Colin,Wilson,historia,Carol,C
Colin,Wilson,geografia,Ruth,C
Colin,Wilson,filosofia,George,D
Piers,Cornish,espanhol,Robert,A
Piers,Cornish,sociologia,Bertie,D
Piers,Cornish,ciencias,Donna,B
Matt,Grant,historia,Carol,B
Matt,Grant,espanhol,Robert,C
Matt,Grant,matematica,John,A
Rachel,Rees,geografia,Dorothy,C
Rachel,Rees,ciencias,Donna,B
Pippa,Mathis,sociologia,Bertie,C
Pippa,Mathis,historia,Carol,B
Pippa,Mathis,filosofia,George,D
Claire,Vance,geografia,Dorothy,A
Claire,Vance,ciencias,Donna,C
Claire,Vance,portugues,Margaret,B
Sophie,Taylor,portugues,James,C
Sophie,Taylor,historia,Carol,C
Sophie,Taylor,espanhol,Robert,B
Andrea,Brown,matematica,Paul,C
Andrea,Brown,sociologia,Bertie,B
Andrea,Brown,ciencias,Donna,B
Gordon,Piper,biologia,Sarah,C
Gordon,Piper,espanhol,Robert,D
Connor,Cameron,ciencias,Donna,C
Connor,Cameron,matematica,Paul,D
Connor,Cameron,portugues,Patricia,C
Joanne,Watson,ingles,Susan,D
Joanne,Watson,espanhol,Robert,A
Joanne,Watson,geografia,Ruth,D
Victor,Marshall,matematica,Charles,D
Victor,Marshall,artes,Brian,B
Victor,Marshall,ciencias,Donna,B
Simon,Grant,filosofia,George,D
Simon,Grant,matematica,Charles,A
Alexandra,Ince,ciencias,Donna,D
Alexandra,Ince,espanhol,Robert,A
Alexandra,Ince,filosofia,George,C
Jonathan,Rees,matematica,Paul,C
Jonathan,Rees,espanhol,Robert,A
Wanda,Payne,ciencias,Donna,C
Wanda,Payne,filosofia,George,C
Justin,Vance,matematica,John,D
Justin,Vance,geografia,Dorothy,A
Justin,Vance,historia,Carol,D
Sally,Murray,ciencias,Donna,A
Sally,Murray,historia,Carol,C
Sally,Murray,portugues,Patricia,C
Stewart,Manning,matematica,Donald,C
Stewart,Manning,ingles,Karen,B
Stewart,Manning,artes,Brian,D
Carl,Henderson,ciencias,Donna,C
Carl,Henderson,matematica,Donald,D
Carl,Henderson,filosofia,George,C
Karen,Morgan,filosofia,George,D
Karen,Morgan,artes,Brian,D
Karen,Morgan,historia,Carol,D
Elizabeth,Dyer,matematica,Donald,D
Elizabeth,Dyer,ingles,Susan,C
Elizabeth,Dyer,artes,Kenneth,A
Theresa,Bond,sociologia,Bertie,A
Theresa,Bond,ciencias,Donna,C
Rebecca,Gibson,geografia,Ruth,A
Rebecca,Gibson,filosofia,George,B
Rebecca,Gibson,ingles,Susan,A
Felicity,McGrath,sociologia,Bertie,B
Felicity,McGrath,espanhol,Robert,D
Felicity,McGrath,biologia,William,B
Amelia,North,matematica,Paul,D
Amelia,North,portugues,Margaret,D
Amelia,North,ciencias,Donna,D
Stewart,Smith,espanhol,Robert,A
Stewart,Smith,geografia,Dorothy,C
Stewart,Smith,historia,Carol,A
Lillian,Hamilton,espanhol,Robert,D
Lillian,Hamilton,matematica,Charles,C
Lillian,Hamilton,historia,Carol,D
Simon,Fisher,artes,Brian,A
Simon,Fisher,historia,Carol,B
Simon,Fisher,espanhol,Robert,A
Jason,Blake,geografia,Ruth,C
Jason,Blake,sociologia,Bertie,D
Evan,Vaughan,ciencias,Donna,B
Evan,Vaughan,filosofia,George,B
Evan,Vaughan,ingles,Karen,A
Anthony,Sharp,sociologia,Bertie,C
Anthony,Sharp,matematica,Paul,A
Anthony,Sharp,biologia,William,D
Jennifer,Ince,artes,Kenneth,B
Jennifer,Ince,historia,Carol,D
Lillian,Lewis,geografia,Ruth,B
Lillian,Lewis,espanhol,Robert,D
Lillian,Lewis,ciencias,Donna,C
Carl,Walker,matematica,John,B
Carl,Walker,ingles,Susan,C
Carl,Walker,ciencias,Donna,C
Neil,Robertson,espanhol,Robert,B
Neil,Robertson,sociologia,Bertie,B
Neil,Robertson,portugues,Margaret,D
Michael,Randall,espanhol,Robert,D
Michael,Randall,biologia,William,A
Tracey,Nolan,biologia,Sarah,B
Tracey,Nolan,sociologia,Bertie,A
Tracey,Nolan,espanhol,Robert,D
Nicholas,Hill,portugues,James,B
Nicholas,Hill,ciencias,Donna,B
Nicholas,Hill,ingles,Karen,D
Jacob,Carr,ciencias,Donna,C
Jacob,Carr,artes,Brian,B
Austin,Hardacre,matematica,John,A
Austin,Hardacre,ingles,Michael,C
Neil,Lewis,ciencias,Donna,A
Neil,Lewis,matematica,Paul,B
Neil,Lewis,filosofia,George,A
Ruth,Roberts,historia,Carol,A
Ruth,Roberts,filosofia,George,C
Ruth,Roberts,espanhol,Robert,D
Maria,Hunter,espanhol,Robert,B
Maria,Hunter,artes,Brian,C
Maria,Hunter,geografia,Dorothy,D
Christopher,Lewis,espanhol,Robert,B
Christopher,Lewis,ciencias,Donna,A
Olivia,Ferguson,historia,Carol,C
Olivia,Ferguson,filosofia,George,A
Olivia,Ferguson,artes,Brian,C
Chloe,Paige,matematica,Charles,B
Chloe,Paige,sociologia,Bertie,C
Chloe,Paige,historia,Carol,A
Gabrielle,Sharp,ingles,Karen,A
Gabrielle,Sharp,portugues,Patricia,A
Gabrielle,Sharp,ciencias,Donna,B
Ruth,McGrath,ingles,Susan,A
Ruth,McGrath,biologia,Sarah,C
Alan,Piper,historia,Carol,C
Alan,Piper,ciencias,Donna,D
Alan,Piper,portugues,Elizabeth,A
Nicholas,MacDonald,portugues,Margaret,A
Nicholas,MacDonald,historia,Carol,D
Jacob,Sanderson,geografia,Dorothy,B
Jacob,Sanderson,biologia,Sarah,C
Jacob,Sanderson,ingles,Michael,D
Thomas,Reid,filosofia,George,C
Thomas,Reid,historia,Carol,B
Neil,Hemmings,ciencias,Donna,B
Neil,Hemmings,ingles,Susan,C
Neil,Hemmings,espanhol,Robert,A
Victor,Ross,geografia,Dorothy,A
Victor,Ross,ingles,Susan,B
Chloe,Marshall,ciencias,Donna,C
Chloe,Marshall,portugues,Patricia,D
Chloe,Marshall,ingles,Karen,A
Mary,Gray,ingles,Karen,D
Mary,Gray,geografia,Ruth,D
Mary,Gray,filosofia,George,D
Natalie,Nash,ciencias,Donna,D
Natalie,Nash,biologia,Sarah,B
Natalie,Nash,portugues,Patricia,D
Lily,Hughes,historia,Carol,A
Lily,Hughes,geografia,Dorothy,D
Lily,Hughes,matematica,Donald,D
Michael,Wright,historia,Carol,A
Michael,Wright,portugues,Patricia,D
Michael,Wright,ciencias,Donna,C
Leah,Smith,espanhol,Robert,D
Leah,Smith,filosofia,George,C
Leah,Smith,geografia,Ruth,D
Carl,Oliver,espanhol,Robert,D
Carl,Oliver,sociologia,Bertie,C
Carl,Oliver,ingles,Michael,A
Julian,Bailey,sociologia,Bertie,B
Julian,Bailey,ingles,Michael,C
Natalie,Davies,biologia,William,D
Natalie,Davies,historia,Carol,D
Natalie,Davies,portugues,Patricia,D
Trevor,Ellison,filosofia,George,D
Trevor,Ellison,ciencias,Donna,C
Trevor,Ellison,portugues,Margaret,D
Neil,Ball,ciencias,Donna,D
Neil,Ball,matematica,John,B
Neil,Ball,historia,Carol,A
Owen,Coleman,artes,Brian,C
Owen,Coleman,ciencias,Donna,D
Owen,Coleman,historia,Carol,C
Mary,Paterson,geografia,Dorothy,B
Mary,Paterson,portugues,Margaret,D
Stephen,Hamilton,biologia,William,D
Stephen,Hamilton,geografia,Dorothy,A
Stephen,Hamilton,historia,Carol,D
Anne,Arnold,filosofia,George,A
Anne,Arnold,artes,Kenneth,A
Anne,Arnold,ingles,Susan,A
Stephanie,Walsh,geografia,Ruth,B
Stephanie,Walsh,biologia,William,C
Stephanie,Walsh,espanhol,Robert,B
Carolyn,Henderson,biologia,William,C
Carolyn,Henderson,matematica,Paul,D
Carolyn,Henderson,ingles,Karen,B
Pippa,Bailey,portugues,Elizabeth,B
Pippa,Bailey,biologia,Sarah,A
Pippa,Bailey,filosofia,George,D
Julian,Quinn,espanhol,Robert,C
Julian,Quinn,ciencias,Donna,D
Tracey,Bond,historia,Carol,B
Tracey,Bond,sociologia,Bertie,A
Leah,Metcalfe,historia,Carol,A
Leah,Metcalfe,filosofia,George,D
Trevor,Black,portugues,Patricia,B
Trevor,Black,sociologia,Bertie,B
Trevor,Black,artes,Brian,D
Olivia,Hemmings,ingles,Karen,B
Olivia,Hemmings,artes,Brian,D
Olivia,Hemmings,historia,Carol,A
Ava,Bell,matematica,John,B
Ava,Bell,artes,Brian,A
Ava,Bell,ingles,Susan,D
Joshua,Ogden,artes,Kenneth,A
Joshua,Ogden,espanhol,Robert,A
Joshua,Ogden,geografia,Dorothy,A
Samantha,Allan,ingles,Susan,A
Samantha,Allan,sociologia,Bertie,A
Samantha,Allan,matematica,Donald,B
